date,state,daily
6/10/2020,Malaysia,563
6/11/2020,Malaysia,464
6/12/2020,Malaysia,432
6/13/2020,Malaysia,337
6/14/2020,Malaysia,424
6/15/2020,Malaysia,653
6/16/2020,Malaysia,585
6/17/2020,Malaysia,602
6/18/2020,Malaysia,576
6/19/2020,Malaysia,306
6/20/2020,Malaysia,295
6/21/2020,Malaysia,218
6/22/2020,Malaysia,600
6/23/2020,Malaysia,693
6/24/2020,Malaysia,644
6/25/2020,Malaysia,591
6/26/2020,Malaysia,330
6/27/2020,Malaysia,343
6/28/2020,Malaysia,337
6/29/2020,Malaysia,606
6/30/2020,Malaysia,582
7/1/2020,Malaysia,700
7/2/2020,Malaysia,719
7/3/2020,Malaysia,385
7/4/2020,Malaysia,278
7/5/2020,Malaysia,329
7/6/2020,Malaysia,690
7/7/2020,Malaysia,663
7/8/2020,Malaysia,672
7/9/2020,Malaysia,766
7/10/2020,Malaysia,397
7/11/2020,Malaysia,263
7/12/2020,Malaysia,594
7/13/2020,Malaysia,795
7/14/2020,Malaysia,845
7/15/2020,Malaysia,959
7/16/2020,Malaysia,809
7/17/2020,Malaysia,635
7/18/2020,Malaysia,455
7/19/2020,Malaysia,595
7/20/2020,Malaysia,958
7/21/2020,Malaysia,853
7/22/2020,Malaysia,975
7/23/2020,Malaysia,827
7/24/2020,Malaysia,661
7/25/2020,Malaysia,384
7/26/2020,Malaysia,524
7/27/2020,Malaysia,768
7/28/2020,Malaysia,776
7/29/2020,Malaysia,751
7/30/2020,Malaysia,369
7/31/2020,Malaysia,75
8/1/2020,Malaysia,103
8/2/2020,Malaysia,99
8/3/2020,Malaysia,589
8/4/2020,Malaysia,667
8/5/2020,Malaysia,812
8/6/2020,Malaysia,602
8/7/2020,Malaysia,515
8/8/2020,Malaysia,268
8/9/2020,Malaysia,397
8/10/2020,Malaysia,941
8/11/2020,Malaysia,771
8/12/2020,Malaysia,805
8/13/2020,Malaysia,744
8/14/2020,Malaysia,522
8/15/2020,Malaysia,363
8/16/2020,Malaysia,463
8/17/2020,Malaysia,887
8/18/2020,Malaysia,620
8/19/2020,Malaysia,817
8/20/2020,Malaysia,141
8/21/2020,Malaysia,504
8/22/2020,Malaysia,202
8/23/2020,Malaysia,326
8/24/2020,Malaysia,1001
8/25/2020,Malaysia,886
